time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1627643483.21464157,0.01701035,11577,0.00315685,0.00000000,0,0.00000000,0,1408,574,0.00000000
1627643483.31463218,0.02246447,11653,0.00444062,0.00000000,0,0.00000000,0,1431,387,0.01733928
1627643483.41508341,0.01406346,11577,0.00270551,0.00000000,0,0.00000000,0,1643,531,0.00740489
1627643483.51502895,0.00846164,11506,0.00127908,0.00000000,0,0.00000000,0,1806,626,0.00935432
1627643483.61593175,0.01039692,11525,0.00116774,0.00000000,0,0.00000000,0,1969,552,0.01085484
1627643483.71542740,0.03356704,11607,0.00522790,0.00000000,0,0.00000000,0,2206,427,0.01013819
1627643483.81589603,0.01143213,11612,0.00228430,0.00000000,0,0.00000000,0,2335,429,0.00850283
1627643483.91580153,0.02296996,11601,0.00491948,0.00000000,0,0.00000000,0,2372,392,0.00651876
1627643484.01599693,0.03468946,11558,0.00488681,0.00000000,0,0.00000000,0,2463,335,0.00736085
1627643484.11624098,0.02730623,11639,0.00252843,0.00000000,0,0.00000000,0,2574,365,0.01992082
1627643484.21639490,0.01183008,11515,0.00176287,0.00000000,0,0.00000000,0,2625,421,0.00910564
1627643484.31680536,0.01134211,11658,0.00239304,0.00000000,0,0.00000000,0,2632,370,0.01211879
1627643484.41680050,0.01033884,11714,0.00225808,0.00000000,0,0.00000000,0,2668,328,0.01060535
1627643484.51729584,0.02414153,11537,0.00133524,0.00000000,0,0.00000000,0,2702,230,0.01065082
1627643484.61718917,0.01520786,11652,0.00158197,0.00000000,0,0.00000000,0,2662,210,0.00641259
1627643484.71752477,0.02961671,11558,0.00137911,0.00000000,0,0.00000000,0,2702,168,0.00518941
1627643484.81821442,0.02927131,11561,0.00164615,0.00000000,0,0.00000000,0,2741,136,0.00546750
1627643484.91778851,0.01484837,11614,0.00040121,0.00000000,0,0.00000000,0,2767,100,0.01098574
1627643485.01837349,0.01227607,11644,0.00125253,0.00000000,0,0.00000000,0,2759,101,0.01028678
1627643485.11823630,0.01412920,11652,0.00124556,0.00000000,0,0.00000000,0,2793,125,0.01546646
1627643485.21880627,0.01743964,11653,0.00192567,0.00000000,0,0.00000000,0,2800,149,0.01662367
1627643485.31915522,0.03167657,11651,0.00234648,0.00000000,0,0.00000000,0,2837,132,0.01153707
1627643485.41877961,0.02517906,11661,0.00106193,0.00000000,0,0.00000000,0,2844,122,0.00969482
1627643485.51897264,0.01548347,11740,0.00071467,0.00000000,0,0.00000000,0,2867,113,0.00612311
1627643485.61920047,0.03293753,11648,0.00203435,0.00000000,0,0.00000000,0,2933,147,0.00983706
1627643485.71936512,0.04042633,11599,0.00524310,0.00000000,0,0.00000000,0,2934,170,0.01438698
1627643485.81953049,0.02735865,11727,0.00306993,0.00000000,0,0.00000000,0,2895,196,0.01942664
1627643485.91978931,0.01077608,11662,0.00104953,0.00000000,0,0.00000000,0,2873,167,0.01779845
1627643486.02217197,0.01651255,11709,0.00113795,0.00000000,0,0.00000000,0,2944,164,0.00964724
1627643486.12011623,0.01394469,11656,0.00221913,0.00000000,0,0.00000000,0,3022,146,0.01574173
1627643486.22078800,0.01225703,11783,0.00090731,0.00000000,0,0.00000000,0,3067,130,0.01751271
